City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lebu,-37.6167,-73.65,10.81,83,100,4.82,CL,1696274947
83,iqaluit,63.7506,-68.5145,4.85,75,75,5.66,CA,1696274947
84,tommot,58.9564,126.2925,4.99,72,98,0.45,RU,1696274947
85,saint-pierre,-21.3393,55.4781,23.82,73,20,1.54,RE,1696274948
86,hawaiian paradise park,19.5933,-154.9731,26.61,85,100,1.54,US,1696274895
87,porirua,-41.1333,174.85,8.25,79,69,3.13,NZ,1696274948
88,mount isa,-20.7333,139.5,13.87,51,6,1.03,AU,1696274949
89,mae chai,19.346,99.814,22.6,97,45,0.88,TH,1696274949
90,taoudenni,22.6783,-3.9836,38.91,12,93,3.36,ML,1696274949
91,ust-nera,64.5667,143.2,-1.55,81,31,0.89,RU,1696274950
92,tomatlan,19.9333,-105.25,32.75,64,100,3.23,MX,1696274764
93,happy valley-goose bay,53.3168,-60.3315,12.17,43,75,6.69,CA,1696274951
94,maputo,-25.9653,32.5892,18.82,63,0,3.09,MZ,1696274658
95,talnakh,69.4865,88.3972,-1.55,94,100,8.34,RU,1696274952
96,mount pearl,47.5166,-52.7813,17.47,81,20,2.06,CA,1696274952
97,kingscliff,-28.2667,153.5667,17.89,72,3,3.6,AU,1696274953
98,port douglas,-16.4833,145.4667,22.44,87,38,3.59,AU,1696274953
99,richards bay,-28.783,32.0377,18.41,58,0,6.35,ZA,1696274869
100,avarua,-21.2078,-159.775,22.03,73,75,5.66,CK,1696274954
101,enewetak,11.3474,162.3373,28.87,79,100,6.79,MH,1696274954
102,puerto ayora,-0.7393,-90.3518,26.98,93,94,2.68,EC,1696274955
103,sitka,57.0531,-135.33,10.94,87,100,3.09,US,1696274955
104,port macquarie,-31.4333,152.9167,13.27,90,7,4.22,AU,1696274955
105,la'ie,21.6477,-157.9253,28.98,73,3,4.08,US,1696274956
106,xucheng,20.35,110.1288,26.09,88,34,2.49,CN,1696274956
107,abengourou,6.7297,-3.4964,23.31,98,100,1.54,CI,1696274956
108,bandarbeyla,9.4942,50.8122,26.43,87,18,5.74,SO,1696274957
109,marco island,25.9363,-81.7157,32.0,66,75,6.17,US,1696274957
110,invercargill,-46.4,168.35,2.79,93,19,1.79,NZ,1696274958
111,naja' hammadi,26.0495,32.2414,27.82,30,100,4.68,EG,1696274958
112,klyuchi,52.2667,79.1667,5.51,53,1,3.09,RU,1696274959
113,vorgashor,67.5833,63.95,2.99,96,100,7.82,RU,1696274959
114,hafar al-batin,28.4328,45.9708,33.32,17,0,5.14,SA,1696274960
115,nemuro,43.3236,145.575,13.86,70,38,10.19,JP,1696274960
116,yaren,-0.5472,166.916,28.65,77,97,5.68,NR,1696274961
117,pinsk,52.1229,26.0951,15.26,59,99,0.2,BY,1696274961
118,kapuskasing,49.4169,-82.4331,28.05,54,40,7.2,CA,1696274961
119,aginskoye,51.1,114.53,1.97,56,0,7.76,RU,1696274962
120,hailar,49.2,119.7,9.6,50,100,1.18,CN,1696274962
121,jutai,-5.1833,-68.9,34.44,46,100,0.13,BR,1696274962
122,carnarvon,-24.8667,113.6333,16.76,62,0,11.4,AU,1696274963
123,mahibadhoo,3.7833,72.9667,27.37,80,90,4.61,MV,1696274963
124,alice springs,-23.7,133.8833,27.75,21,7,4.63,AU,1696274963
